candidate_id,rank,score,reasoning
CAND_0000031,1,0.926459,"Recommendation Systems Engineer at Swiggy (6.0 yrs) — hands-on with FAISS, Pinecone, Embeddings; 5+ years in ML/AI roles; 6.0 years experience (target band). Strong ML engineering background with 70 months in AI roles; profile fits the Senior AI Engineer mandate closely."
CAND_0000014,2,0.541974,"Frontend Engineer at Zomato (8.4 yrs) — hands-on with FAISS, OpenSearch; 4+ years in ML/AI roles; 8.4 years experience (target band). Strong ML engineering background with 48 months in AI roles; profile fits the Senior AI Engineer mandate closely."
CAND_0000010,3,0.480215,"Data Engineer at Ola (4.6 yrs) — hands-on with Elasticsearch, Python, BM25. High composite fit across skill match, career trajectory, and platform engagement for this role."
CAND_0000043,4,0.426363,"Cloud Engineer at Swiggy (8.3 yrs) — hands-on with Elasticsearch, OpenSearch; 8.3 years experience (target band); willing to relocate. High composite fit across skill match, career trajectory, and platform engagement for this role."
CAND_0000015,5,0.421438,Software Engineer at Razorpay (5.4 yrs) — hands-on with Qdrant; 31 months in ML/AI roles; 5.4 years experience (target band). Strong ML engineering background with 31 months in AI roles; profile fits the Senior AI Engineer mandate closely.
CAND_0000032,6,0.411048,".NET Developer at Cognizant (8.1 yrs) — hands-on with Embeddings, Python; 8.1 years experience (target band); based in Gurgaon, Haryana. High composite fit across skill match, career trajectory, and platform engagement for this role."
CAND_0000035,7,0.397036,"Full Stack Developer at Globex Inc (4.3 yrs) — hands-on with Recommendation Systems; 18 months in ML/AI roles; based in Hyderabad, Telangana. High composite fit across skill match, career trajectory, and platform engagement for this role."
CAND_0000038,8,0.394888,"Java Developer at Swiggy (6.7 yrs) — hands-on with Weaviate; 6.7 years experience (target band); willing to relocate. High composite fit across skill match, career trajectory, and platform engagement for this role."
CAND_0000001,9,0.392153,Backend Engineer at Mindtree (6.9 yrs) — hands-on with Milvus; 27 months in ML/AI roles; 6.9 years experience (target band). Strong ML engineering background with 27 months in AI roles; profile fits the Senior AI Engineer mandate closely.
CAND_0000011,10,0.368737,"QA Engineer at Pied Piper (2.0 yrs) — hands-on with Recommendation Systems; based in Hyderabad, Telangana. High composite fit across skill match, career trajectory, and platform engagement for this role."
CAND_0000007,11,0.343327,"Civil Engineer at Wipro (5.5 yrs) — 5.5 years experience (target band); based in Gurgaon, Haryana; 30-day notice period. Adjacent skills and partial experience match; included at bottom of shortlist as borderline fit."
CAND_0000016,12,0.334882,"Accountant at Infosys (5.3 yrs) — 5.3 years experience (target band); based in Gurgaon, Haryana. Concerns: inactive for 193 days."
CAND_0000025,13,0.325214,"Frontend Engineer at Tech Mahindra (7.3 yrs) — 7.3 years experience (target band); 74% recruiter response rate. Concerns: located in Vizag, Andhra Pradesh, not willing to relocate, inactive for 94 days."
